24018854	Deficiency of phytochrome B alleviates chilling-induced photoinhibition in rice.	2013	Am J Bot	UNLABELLED: OrderedDict([('@Label', 'UNLABELLED')])
24130448	Cloning and characterization of endo-β-1,4-glucanase genes in the common wheat line three pistils.	2013	Genet Mol Biol	In this work, we report the cloning and characterization of endo-β-1,4-glucanase (EGase) genes (TaEG) in the common wheat line three pistils. Three TaEG homoeologous genes (TaEG-4A, TaEG-4B and TaEG-4D) were isolated and found to be located on chromosomes 4AL, 4BS and 4DS, respectively. The three genes showed high conservation of their coding nucleotide sequences and 3 untranslated region. The putative TaEG protein had a molecular mass of 69 kDa, a theoretical pI of 9.39 and a transmembrane domain of 74-96 amino acids in the N-terminus that anchored the protein to the membrane. The genome sequences of TaEG-4A, TaEG-4B and TaEG-4D contained six exons and five introns. All of the introns, except for intron IV, varied in length and sequence composition. Phylogenetic analysis revealed that TaEG was most closely related to rice (Oryza sativa) OsGLU1. The TaEG transcript levels increased significantly during the subsidiary pistil primordium differentiation phase (spike size ∼7-10 mm) in Chuanmai 28 TP (CM28TP). These data provide a basis for future research into the function of TaEG and offer insights into the molecular mechanism of the three pistils mutation in wheat.
24085445	Fine mapping and characterization of a novel dwarf and narrow-leaf mutant dnl1 in rice.	2013	Genet Mol Res	Plant height is one of the most important agronomic traits of rice (Oryza sativa). Dwarf mutants are ideal materials for research on the mechanisms of regulation of rice plant height. We examined a new dwarf and narrow-leaf mutant dnl1. Phenotypic analysis showed that the dnl1 mutant has a thinner culm and more tillers, but the number of grains per panicle, the seed setting rate and the grain weight of dnl1 mutant were found to be significantly lower than in the wild-type. Based on scanning electron microscopic observations, the number of cells in the y-axis in internodes was significantly lower than in the wild-type. In phytohormone induction experiments, dnl1 was gibberellic acid-insensitive. The expression of some genes involved in the gibberellins metabolic pathways was affected in the dnl1 mutant, based on the real-time PCR analysis, suggesting that the dnl1 gene likely plays a role in gibberellin metabolic pathways. Genetic analysis showed that the dwarf and narrow leaf phenotype is controlled by a novel single recessive gene, here referred to as the dwarf and narrow leaf 1 (dnl1), which is located within the region between markers Ind12-11 and RM8214 on the short arm of chromosome 12. By means of fine-mapping strategy, the dnl1 gene was localized within an interval of 285.75 kb physical distance. These results will be useful for dnl1 gene cloning and to improve our understanding of the molecular mechanisms involved in the regulation of growth and development of rice.
24056187	Accumulation of total mercury and methylmercury in rice plants collected from different mining areas in China.	2014	Environ Pollut	A total of 155 rice plants were collected from ten mining areas in three provinces of China (Hunan, Guizhou and Guangdong), where most of mercury (Hg) mining takes place in China. During the harvest season, whole rice plants were sampled and divided into root, stalk & leaf, husk and seed (brown rice), together with soil from root zone. Although the degree of Hg contamination varied significantly among different mining areas, rice seed showed the highest ability for methylmercury (MeHg) accumulation. Both concentrations of total mercury (THg) and MeHg in rice plants were significantly correlated with Hg levels in soil, indicating soil is still an important source for both inorganic mercury (IHg) and MeHg in rice plants. The obvious discrepancy between the distribution patterns of THg and MeHg reflected different pathways of IHg and MeHg accumulation. Water soluble Hg may play more important role in MeHg accumulation in rice plants.
24115565	Optimizing rice yields while minimizing yield-scaled global warming potential.	2014	Glob Chang Biol	To meet growing global food demand with limited land and reduced environmental impact, agricultural greenhouse gas (GHG) emissions are increasingly evaluated with respect to crop productivity, i.e., on a yield-scaled as opposed to area basis. Here, we compiled available field data on CH4 and N2 O emissions from rice production systems to test the hypothesis that in response to fertilizer nitrogen (N) addition, yield-scaled global warming potential (GWP) will be minimized at N rates that maximize yields. Within each study, yield N surplus was calculated to estimate deficit or excess N application rates with respect to the optimal N rate (defined as the N rate at which maximum yield was achieved). Relationships between yield N surplus and GHG emissions were assessed using linear and nonlinear mixed-effects models. Results indicate that yields increased in response to increasing N surplus when moving from deficit to optimal N rates. At N rates contributing to a yield N surplus, N2 O and yield-scaled N2 O emissions increased exponentially. In contrast, CH4 emissions were not impacted by N inputs. Accordingly, yield-scaled CH4 emissions decreased with N addition. Overall, yield-scaled GWP was minimized at optimal N rates, decreasing by 21% compared to treatments without N addition. These results are unique compared to aerobic cropping systems in which N2 O emissions are the primary contributor to GWP, meaning yield-scaled GWP may not necessarily decrease for aerobic crops when yields are optimized by N fertilizer addition. Balancing gains in agricultural productivity with climate change concerns, this work supports the concept that high rice yields can be achieved with minimal yield-scaled GWP through optimal N application rates. Moreover, additional improvements in N use efficiency may further reduce yield-scaled GWP, thereby strengthening the economic and environmental sustainability of rice systems.
24078602	Increases in both acute and chronic temperature potentiate tocotrienol concentrations in wild barley at 'Evolution Canyon'.	2013	Chem Biodivers	Biosynthesis of tocols (vitamin E isoforms) is linked to response to temperature in plants. 'Evolution Canyon', an ecogeographical microcosm extending over an average of 200 meters (range 100-400) wide area in the Carmel Mountains of northern Israel, has been suggested as a model for studying global warming. Both domestic (Hordeum vulgare) and wild (Hordeum spontaneum) barley compared with wheat, oat, corn, rice, and rye show high tocotrienol/tocopherol ratios. Therefore, we hypothesized that tocol distribution might change in response to global warming. α-, β-, γ-, and δ-tocopherol, and α-, β-, γ-, and δ-tocotrienol concentrations were measured in wild barley (H. spontaneum) seeds harvested from the xeric (African) and mesic (European) slopes of Evolution Canyon over a six-year period from 2005-2011. Additionally, we examined seeds from areas contiguous to and distant from the part of the Canyon severely burned during the Carmel Fire of December 2010. Increased α-tocotrienol (p<0.01) was correlated with 1) temperature increases, 2) to the hotter 'African' slope in contrast to the cooler 'European' slope, and 3) to propinquity to the fire. The study illustrates the role of α-tocotrienol in both chronic and acute temperature adaptation in wild barley and suggests future research into thermoregulatory mechanisms in plants.
24053951	Fine mapping and analysis of DWARF TILLER1 in controlling rice architecture.	2013	J Genet Genomics	
24041758	Protective effects of tocotrienols against lipid-induced nephropathy in experimental type-2 diabetic rats by modulation in TGF-β expression.	2013	Toxicol Appl Pharmacol	Dyslipidemia is common in patients with diabetes mellitus (DM) and is considered a risk factor for the progression of diabetic nephropathy (DN). Hyperlipidemia and hyperglycemia act synergistically to induce renal injury. The present study was designed to investigate the protective effects of tocotrienols as tocotrienol-rich fraction (TRF) extracted from palm (PO) and rice bran oils (RBO) against lipid induced nephropathy in type-2 diabetic rats and its probable molecular mechanism. Male Wistar rats (175-200 g) were divided into four groups. The first group served as diabetic control, while the second and third groups received PO-TRF and RBO-TRF, respectively by gavage over a period of sixteen weeks post-induction of diabetes. The fourth group comprised of age-matched rats that served as normal control. The effects of TRF on serum lipid profile, oxidative stress markers, expression of TGF-β, fibronectin and collagen type IV were analyzed in the kidney of diabetic rats. Treatment with PO-TRF and RBO-TRF significantly improved glycemic status, serum lipid profile and renal function in type-2 diabetic rats. In addition, TRF supplementation down-regulated the expression of TGF-β, fibronectin and collagen type IV in the kidney of diabetic rats. Transforming growth factor-β (TGF-β) plays a critical role in progression of DN, but its modulation by tocotrienols in DN remains unexplored. TRF ameliorated lipid induced nephropathy in type-2 diabetes by its hypoglycemic, hypolipidemic and antioxidant activities as well as by modulation of TGF-β to prevent increased expression of collagen type IV and fibrinogen. We finally propose a mechanism for the expression of molecular markers that are significant in the events leading to diabetic nephropathy and its modulation by tocotrienols/TRF.
24039439	Effects of combination therapy with mitiglinide and voglibose on postprandial plasma glucose in patients with type 2 diabetes mellitus.	2013	Diabetes Metab Syndr Obes	Patients with diabetes mellitus are at increased risk from cardiovascular-related morbidity and mortality as compared with healthy individuals. An association between the postprandial metabolic state and atherogenesis has been observed in patients with diabetes mellitus. In the Study to Prevent Non-Insulin-Dependent Diabetes Mellitus (STOP-NIDDM), treatment with an α-glucosidase inhibitor (α-GI) in patients with impaired glucose tolerance not only reduced the rate of conversion from impaired glucose tolerance to type 2 diabetes mellitus (T2DM), but was also associated with a reduction in the risk of cardiovascular events. These results suggested the importance of treating postprandial hyperglycemia in the early stages of T2DM. Glinides are rapid and short-acting insulin secretagogues that bind to the sulfonylurea receptors on pancreatic β-cells to facilitate rapid insulin secretion, restore postprandial early insulin secretion, and reduce the postprandial glucose spike. Moreover, α-GIs reduce postprandial hyperglycemia and insulin secretion by delaying the digestion of carbohydrates and polysaccharides in the small intestine. Then, both glinides and α-GI have beneficial effects for treating patients with T2DM and impaired glucose tolerance. Considering the ameliorating effects of these drugs on postprandial metabolic disorders, combinations of glinides and α-GI might constitute a promising therapeutic strategy for managing patients with T2DM, and also appear to be suitable for Japanese people, who consume more carbohydrates, such as polished rice, than Caucasians. It has recently been reported that combined use of mitiglinide and voglibose reduces postprandial insulin secretion and blunts diurnal glycemic changes in T2DM patients. This therapy can thus be regarded as being suitable for achieving strict postprandial glycemic control. In this report, we outline the effects of this combination therapy on postprandial plasma glucose and assess its safety.
24036507	Cloning, functional characterization, and expression profiles of NADPH-cytochrome P450 reductase gene from the Asiatic rice striped stem borer, Chilo suppressalis (Lepidoptera: Pyralidae).	None	Comp Biochem Physiol B Biochem Mol Biol	NADPH-cytochrome P450 reductase (CPR) is one of the most important components of the cytochrome P450 enzyme system. It catalyzes electron transfer from NADPH to all known P450s, thus plays central roles not only in the metabolism of exogenous xenobiotics but also in the regulation of endogenous hormones in insects. In this study, a full-length cDNA encoding of a CPR (named CsCPR) was isolated from the Asiatic rice striped stem borer, Chilo suppressalis, by using reverse transcription-polymerase chain reaction (RT-PCR) and rapid amplification of cDNA ends (RACE) methods. The cDNA contains a 2061 bp open reading frame, which encodes an enzyme of 686 amino acid residues, with a calculated molecular mass of 77.6 kDa. The deduced peptide has hallmarks of typical CPR, including an N-terminal membrane anchor and the FMN, FAD and NADPH binding domains. The N-terminal-truncated protein fused with a 6 × His·tag was heterologously expressed in Escherichia coli Rosetta (DE3) cells and purified, specific activity and the Km values of the recombinant enzyme were determined. Tissue- and developmental stage-dependent expression of CsCPR mRNA was investigated by real-time quantitative PCR. The CsCPR mRNA was noticeably expressed in the digestive, metabolic, and olfactory organs of the larvae and adults of C. suppressalis. Our initial results would provide valuable information for further study on the interactions between CPR and cytochrome P450 enzyme systems.
24086146	Genome-wide analysis of ZmDREB genes and their association with natural variation in drought tolerance at seedling stage of Zea mays L.	2013	PLoS Genet	The worldwide production of maize (Zea mays L.) is frequently impacted by water scarcity and as a result, increased drought tolerance is a priority target in maize breeding programs. While DREB transcription factors have been demonstrated to play a central role in desiccation tolerance, whether or not natural sequence variations in these genes are associated with the phenotypic variability of this trait is largely unknown. In the present study, eighteen ZmDREB genes present in the maize B73 genome were cloned and systematically analyzed to determine their phylogenetic relationship, synteny with rice, maize and sorghum genomes; pattern of drought-responsive gene expression, and protein transactivation activity. Importantly, the association between the nucleic acid variation of each ZmDREB gene with drought tolerance was evaluated using a diverse population of maize consisting of 368 varieties from tropical and temperate regions. A significant association between the genetic variation of ZmDREB2.7 and drought tolerance at seedling stage was identified. Further analysis found that the DNA polymorphisms in the promoter region of ZmDREB2.7, but not the protein coding region itself, was associated with different levels of drought tolerance among maize varieties, likely due to distinct patterns of gene expression in response to drought stress. In vitro, protein-DNA binding assay demonstrated that ZmDREB2.7 protein could specifically interact with the target DNA sequences. The transgenic Arabidopsis overexpressing ZmDREB2.7 displayed enhanced tolerance to drought stress. Moreover, a favorable allele of ZmDREB2.7, identified in the drought-tolerant maize varieties, was effective in imparting plant tolerance to drought stress. Based upon these findings, we conclude that natural variation in the promoter of ZmDREB2.7 contributes to maize drought tolerance, and that the gene and its favorable allele may be an important genetic resource for the genetic improvement of drought tolerance in maize.
24066067	Potential of global cropland phytolith carbon sink from optimization of cropping system and fertilization.	2013	PLoS One	The occlusion of carbon (C) by phytoliths, the recalcitrant silicified structures deposited within plant tissues, is an important persistent C sink mechanism for croplands and other grass-dominated ecosystems. By constructing a silica content-phytolith content transfer function and calculating the magnitude of phytolith C sink in global croplands with relevant crop production data, this study investigated the present and potential of phytolith C sinks in global croplands and its contribution to the cropland C balance to understand the cropland C cycle and enhance long-term C sequestration in croplands. Our results indicate that the phytolith sink annually sequesters 26.35 ± 10.22 Tg of carbon dioxide (CO2) and may contribute 40 ± 18% of the global net cropland soil C sink for 1961-2100. Rice (25%), wheat (19%) and maize (23%) are the dominant contributing crop species to this phytolith C sink. Continentally, the main contributors are Asia (49%), North America (17%) and Europe (16%). The sink has tripled since 1961, mainly due to fertilizer application and irrigation. Cropland phytolith C sinks may be further enhanced by adopting cropland management practices such as optimization of cropping system and fertilization.
24002549	Structure and expression of barley starch phosphorylase genes.	2013	Planta	The function of starch phosphorylase has long been debated on the regulation of starch metabolism during the growth and development of plants. In this study, we isolated starch phosphorylase genes (Pho1 and Pho2) from barley, characterized their gene and protein structures, predicated their promoter's cis-elements and analyzed expression patterns. Multiple alignments of these genes showed that (1) both Pho1 and Pho2 genes possess 15 exons and 14 introns in all but three of the species analyzed, Aegilops tauschii (for Pho1 which contains 16 exons and 15 introns), potato (for Pho1b which contains 14 exons and 13 introns), and Triticum uraru (for Pho2 which contains 15 exons and 14 introns); (2) the exon-intron junctions of Pho1 and Pho2 flanking the ligand-binding sites are more conservative than the other regions. Analysis of protein sequences revealed that Pho1 and Pho2 were highly homologous except for two regions, the N terminal domain and the L78 insertion region. The results of real-time quantitative PCR (RT-qPCR) indicated that Pho2 is mainly expressed in germinating seeds, and the expression of Pho1 is similar to that of starch synthesis genes during seed development in barley. Microarray-based analysis indicated that the accumulation of Pho1 or Pho2 transcripts exhibited uniform pattern both in various tissues and various stages of seed development among species of barley, rice, and Arabidopsis. Pho1 of barley was significantly down-regulated under cold and drought treatments, and up-regulated under stem rust infection. Pho2 exhibited similar expression to Pho1 in barley. However, significant difference in expression was not detected for either Pho1 or Pho2 under any of the investigated abiotic stresses. In Arabidopsis, significant down-regulation was detected for Pho1 (PHS1) under abscisic acid (ABA) and for Pho2 (PHS2) under cold, salt, and ABA. Our results provide valuable information to genetically manipulate phosphorylase genes and to further elucidate their regulatory mechanism in the starch biosynthetic pathway.
24015925	Functional characterization of a serine-threonine protein kinase from Bambusa balcooa that implicates in cellulose overproduction and superior quality fiber formation.	2013	BMC Plant Biol	BACKGROUND: Molecular markers allow rapid identification of biologically important germplasm/s having desired character. Previously we have reported a genotype specific molecular marker, Balco1128 [GenBank ID EU258678] of Bambusa balcooa containing an ORF (375 bp) having high similarity with receptor like cytoplasmic kinase of Arabidopsis and Oryza. Balco1128 was found to be associated only with bamboo genotypes endowed with high cellulose and low lignin contents of fibers. Under the above backdrop, it was necessitated to characterize this genetic marker for better understanding of its biological significance in context of superior quality fiber development.

RESULTS: The full length cDNA (3342 bp) of BbKst, a serine-threonine protein kinase was isolated from B. balcooa comprising of six LRR domains at the N-terminal end and a kinase domain at the C-terminal end. Bacteria-expressed BbKst-kinase domain (3339 bp long) showed Mg(2+) dependent kinase activity at pH 7.0, 28°C. Bioinformatics study followed by phospho-amino analysis further confirmed that BbKst-kinase belongs to the serine/threonine protein kinase family. Transcript analysis of the BbKst gene following RNA slot blot hybridization and qPCR revealed higher expression of BbKst during initiation and elongation stages of fiber development. Tissue specific expression studies showed much higher expression of BbKst transcript in stems and internodes of B. balcooa than in leaves and rhizomes. Southern analysis revealed single copy insertion of BbKst in most of the Agrobacterium mediated transgenic tobacco plants. Real-time PCR detected 150-200 fold enhanced expression of BbKst in different T1 tobacco lines than that of the vector transformed plants. Heterologous expression of BbKst under control of 35S promoter in transgenic tobacco showed high cellulose deposition in the xylem fibers. Number of xylary fibers was higher in transgenic T0 and T1 plants than that of empty-vector transformed tobacco plants offering enhanced mechanical strength to the transgenic plants, which was also substantiated by their strong upright phenotypes, significantly higher cellulose contents, flexibility coefficient, slenderness ratio, and lower Runkel ratio of the fibers.

CONCLUSIONS: This finding clearly demonstrated that BbKst gene (GenBank ID JQ432560) encodes a serine/threonine protein kinase. BbKst induced higher cellulose deposition/synthesis in transgenic tobacco plants, an important attribute of fiber quality bestowing additional strength to the plant.
24273431	Development and validation of a PCR-based functional marker system for the brown planthopper resistance gene Bph14 in rice.	2013	Breed Sci	Brown planthopper (BPH) is the most damaging rice pest globally. Resistant varieties are the most effective and environmental strategy for protecting the rice crop from BPH. Functional markers (FMs) designed from polymorphic sites within gene sequences affecting phenotypic variation are highly efficient when used for marker assisted selection (MAS). Bph14 is the first and only cloned insect resistance gene so far in rice. Compared to the sequences of its non-effective alleles there are a number SNP differences. In this study, the method of allele-specific amplification (ASA) was adopted to design a simple, co-dominant, functional marker Bph14P/N for Bph14. Bph14P/N was combined with two specific dominant markers: one, named Bph14P, targets the promoter region of Bph14 and amplifies 566 bp fragments; and the other, Bph14N, targets the LRR region of bph14 and amplifies 345 bp fragments. Specificity and applicability of the functional marker system were verified in two breeding populations and a Chinese mini core collection of Oryza sativa. We recommend the use of this simple, low-cost marker system in routine genotyping for Bph14 in breeding populations.
23995777	gltB/D mutants of Xanthomonas oryzae pv. oryzae are virulence deficient.	2014	Curr Microbiol	Xanthomonas oryzae pv. oryzae (Xoo) causes bacterial blight, a serious disease of rice. Upon clip inoculation of rice leaves, Xoo causes typical V-shaped lesions whose leading edge moves through the mid-veinal region. We have isolated a virulence deficient mutant of Xoo, referred to as BXO808 that causes limited lesions which primarily extend through the side-veinal regions of rice leaves. Functional complementation studies identified a clone, pSR19, from a cosmid genomic library that restored wild-type virulence and lesion phenotype to BXO808. Transposon mutagenesis of the pSR19 clone, marker exchange experiments, and targeted mutagenesis, revealed that the BXO808 phenotype is due to mutation in the gltB/D genes of Xoo, which encode glutamate synthase subunits α and β, respectively. The gltB/D mutants that were generated in this study also exhibited virulence deficiency, an altered lesion phenotype and growth deficiency on minimal medium with low levels of ammonium as a sole nitrogen source. This is the first report that mutations in the gltB/D genes of Xoo cause virulence deficiency.
24077726	Reverse-transcriptional gene expression of anammox and ammonia-oxidizing archaea and bacteria in soybean and rice paddy soils of Northeast China.	2014	Appl Microbiol Biotechnol	The relative gene expression of hydrazine oxidoreductase encoding gene (hzo) for anaerobic ammonium oxidizing bacteria (anammox) and ammonia monooxygenase encoding gene (amoA) for both ammonia-oxidizing archaea (AOA) and ammonia-oxidizing bacteria (AOB) in Sanjiang Plain soybean and rice paddy soils of Northeast China was investigated by using real-time reverse-transcriptional quantitative PCR. Metabolically active populations of anammox, AOA, and AOB in rice paddy soils were evident by the presence and successful quantification of hzo mRNA and amoA mRNA genes. The expression ratio of amoA gene for both AOA and AOB varied between soybean soils and different rice paddy soils while the expression of hzo gene for anammox was detectable only in rice paddy soils by showing a diverse relative expression ratio in each soil sample. Gene expression of both archaeal and bacterial amoA genes in rice paddy soils differed among the three sampling depths, but that of hzo was not. Both archaeal and bacterial amoA genes showed an increase trend of expression level with continuation of rice paddy cultivation, but the low expression ratio of hzo gene indicated a relatively small contribution of anammox in overall removal of inorganic nitrogen through N2 even under anoxic and high nitrogen input in agriculture. Bacterial amoA gene from two soybean fields and three rice paddy fields were also analyzed for community composition by denaturing gradient gel electrophoresis fingerprint. Community shift was observed between soybean and paddy fields and within each of them. The consistent occurrence of three bands 5, 6, and 7 in all samples showed their high adaptability for both arid cultivation and continuous rice paddy cultivation. Our data suggest that AOA and AOB are playing a more important role in nitrogen transformation in agricultural soils in oxic or anoxic environment and anammox bacteria may also contribute but in a less extent to N transformation in these agricultural soils under anoxic condition.
24128405	Utilization of rice husks modified by organomultiphosphonic acids as low-cost biosorbents for enhanced adsorption of heavy metal ions.	2013	Bioresour Technol	Novel biosorbent materials (RH-2 and RH-3) obtained from agricultural waste materials rice husks (RH-1) were successfully developed through fast and facile esterification reactions with hydroxylethylidenediphosphonic acid and nitrilotrimethylenetriphosphonic acid, respectively. The present paper reported the feasibility of using RH-1, RH-2 and RH-3 for removal of heavy metals from simulated wastewater, the results revealed that the adsorption property of functionalized rice husks with organotriphosphonic acid RH-3 for Au(III) was very excellent, especially for gold ions. The combined effect of initial solution pH, RH-3 dosage and initial Au(III) concentration was investigated using response surface methodology (RSM), the results showed that initial Au(III) concentration exerted stronger influence on Au(III) uptake than initial pH and biomass dosage. The analysis of variance (ANOVA) of the quadratic model demonstrated that the model was highly significant, and under the optimum process conditions, the maximum adsorption capacity could reach 3.25 ± 0.07 mmol/g that is higher than other reported adsorbents.
24028141	Genes for iron-sulphur cluster assembly are targets of abiotic stress in rice, Oryza sativa.	2014	Plant Cell Environ	Iron-sulphur (Fe-S) cluster assembly occurs in chloroplasts, mitochondria and cytosol, involving dozens of genes in higher plants. In this study, we have identified 41 putative Fe-S cluster assembly genes in rice (Oryza sativa) genome, and the expression of all genes was verified. To investigate the role of Fe-S cluster assembly as a metabolic pathway, we applied abiotic stresses to rice seedlings and analysed Fe-S cluster assembly gene expression by qRT-PCR. Our data showed that genes for Fe-S cluster assembly in chloroplasts of leaves are particularly sensitive to heavy metal treatments, and that Fe-S cluster assembly genes in roots were up-regulated in response to iron toxicity, oxidative stress and some heavy metal assault. The effect of each stress treatment on the Fe-S cluster assembly machinery demonstrated an unexpected tissue or organelle specificity, suggesting that the physiological relevance of the Fe-S cluster assembly is more complex than thought. Furthermore, our results may reveal potential candidate genes for molecular breeding of rice.
24102799	A novel membrane-bound E3 ubiquitin ligase enhances the thermal resistance in plants.	2014	Plant Biotechnol J	High temperature stress disturbs cellular homoeostasis and results in a severe retardation in crop growth and development. Thus, it is important to reveal the mechanism of plants coping with heat stress. In this study, a novel gene that we identified from Brassica napus, referred to as BnTR1, was found to play a key role in heat stress response in planta. BnTR1 is a membrane-bound RINGv (C₄HC₃) protein that displays E3 ligase activity in vitro. We demonstrated that modest expression of BnTR1 is sufficient to minimize adverse environmental influence and confers thermal resistance on development without any detrimental effects in B. napus and Oryza sativa. Our investigation into the action mechanism indicates that BnTR1 is likely to be involved in mediating Ca²⁺ dynamics by regulating the activity of calcium channels, which further alters the transcripts of heat shock factors and heat shock proteins contributing to plant thermotolerance. Hence, our study identified BnTR1 as a novel key factor underlying a conserved mechanism conferring thermal resistance in plants.
23996237	Nitrogen regulation involved in the accumulation of urea in Saccharomyces cerevisiae.	2013	Yeast	Rice wine is a popular traditional alcoholic drink with a long history in China. However, the presence of the potential carcinogen ethyl carbamate (EC) raises a series of food safety concerns. Although the metabolic pathway of urea (the major precusor of EC) has been characterized in Saccharomyces cerevisiae, the regulation of urea accumulation remains unclear, making the efficient elimination of urea difficult. To demonstrate the regulatory mechanisms governing urea accumulation, three key nitrogen sources that can inhibit urea utilization for a commercial S. cerevisiae strain were identified. In addition, regulators of nitrogen catabolite repression (NCR) and target of rapamycin (TOR) pathways were identified as being involved in urea accumulation by real-time quantitative PCR. Based on these results, preferred nitrogen sources were found to repress urea utilization by converting them to glutamine or glutamate. Moreover, the results indicated that the manner of urea metabolism regulation was different for two positive regulators involved in NCR; Gln3p can be retained in the cytoplasm by glutamine, while Gat1p can be retained by glutamine and glutamate. Furthermore, this was confirmed by fluorescence location detection. These new findings provide new targets for eliminating EC and other harmful nitrogen-containing compounds in fermented foods.
